stop_id,stop_name
400769,RIVERSIDE DR/W 108 ST
400771,RIVERSIDE DR/W 114 ST
400772,RIVERSIDE DR/W 116 ST
400796,BROADWAY/W 171 ST
400798,BROADWAY/W 175 ST
400799,W 178 ST/BROADWAY
400808,BROADWAY/W 178 ST
400809,BROADWAY/W 176 ST
400810,BROADWAY/W 174 ST
400811,BROADWAY/W 172 ST
400812,BROADWAY/W 170 ST
400814,BROADWAY/W 164 ST
400815,BROADWAY/W 162 ST
400816,BROADWAY/W 160 ST
400832,RIVERSIDE DR/W 119 ST
400834,RIVERSIDE DR/W 116 ST
400835,RIVERSIDE DR/W 114 ST
400836,RIVERSIDE DR/W 112 ST
400837,RIVERSIDE DR/W 108 ST
400838,RIVERSIDE DR/W 106 ST
400840,RIVERSIDE DR/W 100 ST
400841,RIVERSIDE DR/W 97 ST
400843,RIVERSIDE DR/W 91 ST
400846,RIVERSIDE DR/W 86 ST
400847,RIVERSIDE DR/W 84 ST
400848,RIVERSIDE DR/W 82 ST
400849,RIVERSIDE DR/W 80 ST
400851,RIVERSIDE DR/W 76 ST
400852,RIVERSIDE DR/W 73 ST
400853,W 72 ST/WEST END AV
400854,W 72 ST/BROADWAY
400856,BROADWAY/W 68 ST
400858,BROADWAY/W 64 ST
400860,BROADWAY/W 61 ST
400861,COLUMBUS CIR/8 AV
400890,W HOUSTON ST/GREENE ST
400903,STATE ST/BRIDGE ST
400910,CHURCH ST/CHAMBERS ST
400913,AV OF THE AMERICAS/WHITE ST
400915,6 AV/THOMPSON ST
400916,AV OF THE AMERICAS/BROOME ST
400917,6 AV/SPRING ST
400919,6 AV/W HOUSTON ST
400929,AV OF THE AMERICAS/W 23 ST
400933,AV OF THE AMERICAS/W 34 ST
400936,AV OF THE AMERICAS/W 42 ST
400938,AV OF THE AMERICAS/W 47 ST
400940,AV OF THE AMERICAS/W 51 ST
400941,AV OF THE AMERICAS/W 54 ST
400943,CENTRAL PK S/6 AV
400948,7 AV/WEST 58 ST
400950,7 AV/W 54 ST
400951,7 AV/W 53 ST
400988,BROADWAY/THAMES ST
401014,CENTRAL PK S/7 AV
401015,CENTRAL PK S/COLUMBUS CI
401016,BROADWAY/W 61 ST
401021,AMSTERDAM AV/W 72 ST
401022,AMSTERDAM AV/W 75 ST
401023,AMSTERDAM AV/W 77 ST
401024,AMSTERDAM AV/W 79 ST
401025,AMSTERDAM AV/W 81 ST
401026,AMSTERDAM AV/W 83 ST
401027,AMSTERDAM AV/W 86 ST
401029,AMSTERDAM AV/W 91 ST
401030,AMSTERDAM AV/W 93 ST
401031,AMSTERDAM AV/W 96 ST
401032,AMSTERDAM AV/W 98 ST
401033,AMSTERDAM AV/W 100 ST
401034,AMSTERDAM AV/W 102 ST
401035,AMSTERDAM AV/W 104 ST
401036,W 106 ST/AMSTERDAM AV
401037,W 106 ST/COLUMBUS AV
401038,MANHATTAN AV/W 106 ST
401039,MANHATTAN AV/W 109 ST
