stop_id,stop_name,direction
610N,Morrison Av-Soundview,UPT
610S,Morrison Av-Soundview,DWT
611,Elder Av,STATION
611N,Elder Av,UPT
611S,Elder Av,DWT
612,Whitlock Av,STATION
612N,Whitlock Av,UPT
612S,Whitlock Av,DWT
613,Hunts Point Av,STATION
613N,Hunts Point Av,UPT
613S,Hunts Point Av,DWT
614,Longwood Av,STATION
614N,Longwood Av,UPT
614S,Longwood Av,DWT
615,E 149 St,STATION
615N,E 149 St,UPT
615S,E 149 St,DWT
616,E 143 St-St Mary's St,STATION
616N,E 143 St-St Mary's St,UPT
616S,E 143 St-St Mary's St,DWT
617,Cypress Av,STATION
617N,Cypress Av,UPT
617S,Cypress Av,DWT
618,Brook Av,STATION
618N,Brook Av,UPT
618S,Brook Av,DWT
619,3 Av-138 St,STATION
619N,3 Av-138 St,UPT
619S,3 Av-138 St,DWT
621,125 St,STATION
621N,125 St,UPT
621S,125 St,DWT
622,116 St,STATION
622N,116 St,UPT
622S,116 St,DWT
623,110 St,STATION
623N,110 St,UPT
623S,110 St,DWT
624,103 St,STATION
624N,103 St,UPT
624S,103 St,DWT
625,96 St,STATION
625N,96 St,UPT
625S,96 St,DWT
626,86 St,STATION
626N,86 St,UPT
626S,86 St,DWT
627,77 St,STATION
627N,77 St,UPT
627S,77 St,DWT
628,68 St-Hunter College,STATION
628N,68 St-Hunter College,UPT
628S,68 St-Hunter College,DWT
629,59 St,STATION
629N,59 St,UPT
629S,59 St,DWT
630,51 St,STATION
630N,51 St,UPT
630S,51 St,DWT
631,Grand Central-42 St,STATION
631N,Grand Central-42 St,UPT
631S,Grand Central-42 St,DWT
632,33 St,STATION
632N,33 St,UPT
632S,33 St,DWT
633,28 St,STATION
633N,28 St,UPT
633S,28 St,DWT
634,23 St,STATION
634N,23 St,UPT
634S,23 St,DWT
635,14 St-Union Sq,STATION
635N,14 St-Union Sq,UPT
635S,14 St-Union Sq,DWT
636,Astor Pl,STATION
636N,Astor Pl,UPT
636S,Astor Pl,DWT
637,Bleecker St,STATION
637N,Bleecker St,UPT
637S,Bleecker St,DWT
638,Spring St,STATION
638N,Spring St,UPT
638S,Spring St,DWT
639,Canal St,STATION
639N,Canal St,UPT
639S,Canal St,DWT
640,Brooklyn Bridge-City Hall,STATION
640N,Brooklyn Bridge-City Hall,UPT
640S,Brooklyn Bridge-City Hall,DWT
701,Flushing-Main St,STATION
701N,Flushing-Main St,UPT
701S,Flushing-Main St,DWT
702,Mets-Willets Point,STATION
702N,Mets-Willets Point,UPT
702S,Mets-Willets Point,DWT
705,111 St,STATION
705N,111 St,UPT
705S,111 St,DWT
706,103 St-Corona Plaza,STATION
706N,103 St-Corona Plaza,UPT
706S,103 St-Corona Plaza,DWT
707,Junction Blvd,STATION
707N,Junction Blvd,UPT
707S,Junction Blvd,DWT
708,90 St-Elmhurst Av,STATION
708N,90 St-Elmhurst Av,UPT
708S,90 St-Elmhurst Av,DWT
709,82 St-Jackson Hts,STATION
709N,82 St-Jackson Hts,UPT
709S,82 St-Jackson Hts,DWT
710,74 St-Broadway,STATION
710N,74 St-Broadway,UPT
710S,74 St-Broadway,DWT
711,69 St,STATION
711N,69 St,UPT
711S,69 St,DWT
712,61 St-Woodside,STATION
712N,61 St-Woodside,UPT
712S,61 St-Woodside,DWT
713,52 St,STATION
713N,52 St,UPT
713S,52 St,DWT
714,46 St-Bliss St,STATION
714N,46 St-Bliss St,UPT
714S,46 St-Bliss St,DWT
715,40 St-Lowery St,STATION
715N,40 St-Lowery St,UPT
715S,40 St-Lowery St,DWT
716,33 St-Rawson St,STATION
716N,33 St-Rawson St,UPT
716S,33 St-Rawson St,DWT
718,Queensboro Plaza,STATION
718N,Queensboro Plaza,UPT
718S,Queensboro Plaza,DWT
719,Court Sq,STATION
719N,Court Sq,UPT
719S,Court Sq,DWT
720,Hunters Point Av,STATION
720N,Hunters Point Av,UPT
720S,Hunters Point Av,DWT
721,Vernon Blvd-Jackson Av,STATION
721N,Vernon Blvd-Jackson Av,UPT
721S,Vernon Blvd-Jackson Av,DWT
723,Grand Central-42 St,STATION
723N,Grand Central-42 St,UPT
723S,Grand Central-42 St,DWT
724,5 Av,STATION
724N,5 Av,UPT
724S,5 Av,DWT
725,Times Sq-42 St,STATION
725N,Times Sq-42 St,UPT
725S,Times Sq-42 St,DWT
726,34 St-Hudson Yards,STATION
726N,34 St-Hudson Yards,UPT
726S,34 St-Hudson Yards,DWT
901,Grand Central-42 St,STATION
901N,Grand Central-42 St,UPT
901S,Grand Central-42 St,DWT
902,Times Sq-42 St,STATION
902N,Times Sq-42 St,UPT
902S,Times Sq-42 St,DWT
A02,Inwood-207 St,STATION
A02N,Inwood-207 St,UPT
A02S,Inwood-207 St,DWT
A03,Dyckman St,STATION
A03N,Dyckman St,UPT
A03S,Dyckman St,DWT
A05,190 St,STATION
A05N,190 St,UPT
A05S,190 St,DWT
A06,181 St,STATION
A06N,181 St,UPT
A06S,181 St,DWT
A07,175 St,STATION
A07N,175 St,UPT
A07S,175 St,DWT
A09,168 St,STATION
A09N,168 St,UPT
A09S,168 St,DWT
A10,163 St-Amsterdam Av,STATION
A10N,163 St-Amsterdam Av,UPT
A10S,163 St-Amsterdam Av,DWT
A11,155 St,STATION
A11N,155 St,UPT
A11S,155 St,DWT
A12,145 St,STATION
A12N,145 St,UPT
A12S,145 St,DWT
A14,135 St,STATION
A14N,135 St,UPT
A14S,135 St,DWT
A15,125 St,STATION
A15N,125 St,UPT
A15S,125 St,DWT
A16,116 St,STATION
A16N,116 St,UPT
A16S,116 St,DWT
A17,Cathedral Pkwy (110 St),STATION
A17N,Cathedral Pkwy (110 St),UPT
A17S,Cathedral Pkwy (110 St),DWT
A18,103 St,STATION
A18N,103 St,UPT
A18S,103 St,DWT
A19,96 St,STATION
A19N,96 St,UPT
A19S,96 St,DWT
A20,86 St,STATION
A20N,86 St,UPT
A20S,86 St,DWT
A21,81 St-Museum of Natural History,STATION
A21N,81 St-Museum of Natural History,UPT
A21S,81 St-Museum of Natural History,DWT
A22,72 St,STATION
A22N,72 St,UPT
A22S,72 St,DWT
A24,59 St-Columbus Circle,STATION
A24N,59 St-Columbus Circle,UPT
A24S,59 St-Columbus Circle,DWT
A25,50 St,STATION
A25N,50 St,UPT
A25S,50 St,DWT
A27,42 St-Port Authority Bus Terminal,STATION
A27N,42 St-Port Authority Bus Terminal,UPT
A27S,42 St-Port Authority Bus Terminal,DWT
A28,34 St-Penn Station,STATION
A28N,34 St-Penn Station,UPT
A28S,34 St-Penn Station,DWT
A30,23 St,STATION
A30N,23 St,UPT
A30S,23 St,DWT
A31,14 St,STATION
A31N,14 St,UPT
A31S,14 St,DWT
A32,W 4 St-Wash Sq,STATION
